Phrase,No,Translation,Example Sentence1,Example Sentence2,Example Sentence Translation1,Example Sentence Translation2
"Have a great influence on ~",37,"～に大きな影響を及ぼす","His words had a great influence on my decision.","The teacher has a great influence on her students.","彼の言葉は私の決断に大きな影響を与えました。","その教師は生徒たちに大きな影響を与えています。"
"Just because ~ doesn’t mean ~",38,"～だからといって～なわけじゃない","Just because it’s popular doesn’t mean it’s good.","Just because he apologized doesn’t mean you should trust him again.","人気だからといって良いわけではありません。","彼が謝罪したからといって、彼を再び信じるべきだというわけではありません。"
"Ranging from A to B",39,"AからBに至るまで","The menu includes dishes ranging from salads to steaks.","The course covers topics ranging from history to modern technology.","メニューにはサラダからステーキに至るまでの料理が含まれています。","そのコースは歴史から現代技術に至るまでのトピックを網羅しています。"
"Double-edged sword",40,"諸刃の剣","Technology is often a double-edged sword.","Fame can be a double-edged sword.","技術はしばしば諸刃の剣です。","名声は諸刃の剣になり得ます。"
"Can act as a deterrent",41,"抑止力として働く","Strict laws can act as a deterrent against crime.","Heavy fines can act as a deterrent for speeding.","厳しい法律は犯罪に対する抑止力として働くことができます。","高額の罰金はスピード違反に対する抑止力として機能します。"
"For the time being",42,"しばらくの間は","For the time being, let’s focus on the current project.","She’s staying with her parents for the time being.","とりあえず現在のプロジェクトに集中しましょう。","彼女はしばらくの間、両親と一緒に暮らしています。"
"A little bird told me",43,"小耳に挟んだ","A little bird told me you’re getting promoted.","A little bird told me there’s a party tonight.","小耳に挟んだんだけど、昇進するらしいね。","小耳に挟んだんだけど、今夜パーティーがあるみたいだよ。"
"A good case in point",44,"～は好例だ","The success of this app is a good case in point.","His career growth is a good case in point for hard work paying off.","このアプリの成功は好例です。","彼のキャリアの成長は、努力が報われる良い例です。"
"Down to earth",45,"地に足が着いている","Despite his fame, he’s very down to earth.","She’s one of the most down-to-earth people I’ve met.","彼は有名であるにもかかわらず、とても地に足が着いています。","彼女は私が出会った中で最も地に足が着いている人の一人です。"
"That’s where my idea comes in",46,"そこに私のアイデアが","We need a creative solution—that’s where my idea comes in.","The project was stuck, and that’s where my idea came in.","創造的な解決策が必要です。そこで私のアイデアが登場します。","プロジェクトが行き詰まり、そこで私のアイデアが役立ちました。"
"To the best of my knowledge",47,"私の知る限り","To the best of my knowledge, the event starts at 10 AM.","To the best of my knowledge, she hasn’t submitted the report yet.","私の知る限り、そのイベントは午前10時に始まります。","私の知る限り、彼女はまだレポートを提出していません。"
"Take it for granted",48,"当たり前だと思う","Don’t take your health for granted.","Many people take clean water for granted.","健康を当たり前だと思わないでください。","多くの人々がきれいな水を当たり前だと思っています。"
"Have a long way to go",49,"長い道のりがある","We still have a long way to go before the project is finished.","He has a long way to go before he becomes fluent in English.","プロジェクトが完成するまで、まだ長い道のりがあります。","彼が英語を流暢に話せるようになるには、まだ長い道のりがあります。"
"What struck me most was ~",50,"印象的だったのは～","What struck me most was her confidence.","What struck me most was the beautiful scenery.","最も印象的だったのは彼女の自信でした。","最も印象的だったのは美しい景色でした。"
"On top of the world",51,"最高の気分で","She felt on top of the world after getting the job.","Winning the tournament made him feel on top of the world.","彼女はその仕事を得た後、最高の気分でした。","トーナメントに勝ったことで、彼は最高の気分になりました。"
"In contrast to ~",52,"～と対照的に","In contrast to his usual behavior, he was very quiet today.","In contrast to last year, sales have increased significantly.","彼の普段の行動とは対照的に、今日はとても静かでした。","昨年とは対照的に、売上は大幅に増加しました。"
"Hit it off",53,"気が合う","We hit it off immediately after meeting.","She hit it off with her new colleagues right away.","私たちは会った瞬間に気が合いました。","彼女は新しい同僚たちとすぐに気が合いました。"
"First thing in the morning",54,"朝一で","I’ll call you first thing in the morning.","She checks her emails first thing in the morning.","朝一で電話しますね。","彼女は朝一番にメールを確認します。"
"See how it plays out",55,"どうなるか様子を見る","Let’s wait and see how it plays out.","He decided to invest and see how it plays out.","どうなるか様子を見ましょう。","彼は投資をして、どうなるか様子を見ることにしました。"
"Play it by ear",56,"成り行きに任せる","I don’t have a plan, so I’ll just play it by ear.","We’ll play it by ear and decide when we get there.","計画はないので、成り行きに任せます。","私たちは現地に着いてから成り行きで決めます。"
"Hit rock bottom",57,"落ちるところまで落ちる","He hit rock bottom after losing his job.","She hit rock bottom before deciding to turn her life around.","彼は仕事を失ってどん底に落ちました。","彼女は人生を変えようと決意する前にどん底に落ちました。"
"On second thought",58,"よく考えると","On second thought, I think we should cancel the trip.","On second thought, I’d like to order something else.","よく考えると、その旅行はキャンセルしたほうが良いと思います。","よく考えると、別のものを注文したいです。"
"Every cloud has a silver lining",59,"どんな悪いことにもいい面がある","Losing the job was tough, but every cloud has a silver lining—I found a better one.","Every cloud has a silver lining, so don’t give up.","仕事を失うのは大変でしたが、どんな悪いことにもいい面があり、もっと良い仕事を見つけました。","どんな悪いことにもいい面があるので、諦めないでください。"
"On a whim",60,"思いつきで","I bought the dress on a whim.","They decided to travel to Paris on a whim.","思いつきでそのドレスを買いました。","彼らは思いつきでパリに旅行することにしました。"
"On the tip of my tongue",61,"ここまで出かかっている","His name is on the tip of my tongue, but I can’t remember it.","The answer is on the tip of my tongue!","彼の名前がここまで出かかっているのに思い出せません。","答えがここまで出かかっているのに!"
"Be blown away by ~",62,"～に感動した","I was blown away by her performance.","He was blown away by the breathtaking view.","彼女のパフォーマンスに感動しました。","彼は息を呑むような景色に感動しました。"
"My-old-self, my-future-self",63,"過去の自分、未来の自分","My old self wouldn’t have taken that risk.","My future self will thank me for this decision.","過去の自分ならそのリスクを取らなかったでしょう。","未来の自分がこの決断に感謝するでしょう。"
"Once and for all",64,"金輪際","Let’s settle this matter once and for all.","I’ve decided to quit smoking once and for all.","この問題を金輪際解決しましょう。","タバコを金輪際やめることにしました。"
"Up in the air",65,"未定","The plans are still up in the air.","Everything is up in the air until we hear from them.","計画はまだ未定です。","彼らからの連絡が来るまでは全てが未定です。"
"Blessing in disguise",66,"不幸中の幸い","Losing that job was a blessing in disguise.","The delay turned out to be a blessing in disguise.","その仕事を失ったことは、不幸中の幸いでした。","遅延が結果的に不幸中の幸いとなりました。"
"Walk in someone’s shoes",67,"～の立場になる","Try to walk in her shoes before judging her.","You’ll understand if you walk in his shoes for a day.","彼女を判断する前に彼女の立場になってみてください。","彼の立場で一日過ごせば分かるでしょう。"
"No matter what it is",68,"それが何であろうと","I’ll support you, no matter what it is.","She’ll do her best, no matter what it is.","それが何であろうと、私はあなたを支えます。","それが何であろうと、彼女は全力を尽くすでしょう。"
"In retrospect",69,"今振り返ると","In retrospect, I should have taken that opportunity.","In retrospect, it was the best decision we could have made.","今振り返ると、その機会を掴むべきでした。","今振り返ると、それは私たちができた最善の決断でした。"
"For a change",70,"たまには（気分を変えて）","Let’s go out for dinner for a change.","I decided to take the scenic route for a change.","たまには外で夕食を食べましょう。","気分を変えて景色の良いルートを選びました。"
"On purpose",71,"わざと、あえて","Did you do that on purpose?","She spilled the drink on purpose to get attention.","あれをわざとやったのですか？","彼女は注目を集めるためにわざと飲み物をこぼしました。"
"Ever since I can remember",72,"物心ついてからずっと","I’ve loved reading ever since I can remember.","She’s been singing ever since I can remember.","物心ついてからずっと読書が大好きでした。","物心ついてからずっと彼女は歌っていました。"
"Those in need",73,"困っている人たち","We should do more to help those in need.","She always volunteers to support those in need.","私たちは困っている人たちをもっと助けるべきです。","彼女は困っている人たちを支えるためにいつもボランティアをしています。"
"Pros and cons",74,"賛否両論","Let’s weigh the pros and cons before deciding.","The pros and cons of this method should be carefully considered.","決定する前に賛否両論を検討しましょう。","この方法の賛否両論は慎重に検討する必要があります。"
"One thing is for sure.",75,"一つ確実なことがある","One thing is for sure, we need to act fast.","One thing is for sure, she is the best candidate for the job.","一つ確実なことは、私たちは迅速に行動する必要があるということです。","一つ確実なことは、彼女がその仕事に最適な候補者だということです。"
"Within walking distance",76,"徒歩圏内","The park is within walking distance from my house.","We chose a hotel within walking distance of the station.","公園は私の家から徒歩圏内にあります。","私たちは駅から徒歩圏内のホテルを選びました。"
"By far the best thing I can do is ~",77,"私ができる圧倒的No1は～","By far the best thing I can do is to support you.","By far the best thing I can do is to stay calm.","私ができる圧倒的No1は、あなたを支えることです。","私ができる圧倒的No1は、冷静でいることです。"
"Vice versa",78,"逆も同じ","I’ll help you if you help me, and vice versa.","She trusts him, and vice versa.","あなたが私を助けてくれるなら、私も助けます。逆も同じです。","彼女は彼を信頼しており、逆も同じです。"
"There is no panacea for ~",79,"～の万能薬などない","There is no panacea for all social issues.","We must understand that there is no panacea for success.","全ての社会問題に対する万能薬などありません。","成功に対する万能薬などないということを理解しなければなりません。"
"The fact remains that ~",80,"そうは言っても事実は～だ","The fact remains that we need more funding.","The fact remains that communication is key to solving conflicts.","そうは言っても事実は、私たちにはもっと資金が必要だということです。","そうは言っても事実は、対立を解決する鍵はコミュニケーションだということです。"
"Make my day",81,"最高の一日にする","Your kind words really made my day.","Winning the prize made my day.","あなたの親切な言葉で最高の一日になりました。","賞を獲得したことで最高の一日になりました。"
"It appears to be ~",82,"一見～のようだ","It appears to be a simple solution.","The building appears to be abandoned.","一見、簡単な解決策のようです。","その建物は一見放棄されているようです。"
"The last thing I want is ~",83,"～は絶対にしたくない","The last thing I want is to hurt your feelings.","The last thing I want is to get involved in a conflict.","絶対にあなたの気持ちを傷つけたくありません。","絶対に争いに巻き込まれたくありません。"
"That depends on how you look at it.",84,"それは見方による。","That depends on how you look at the situation.","It’s a good deal or a bad one—that depends on how you look at it.","それはその状況の見方によります。","それがお得かどうかは、見方によるのです。"
"Make sense",85,"理にかなっている","This explanation makes sense to me.","It doesn’t make sense to argue about this trivial matter.","この説明は私には理にかなっています。","この些細なことで議論するのは理にかなっていません。"
"As of right now",86,"今の時点で","As of right now, the project is on track.","As of right now, I have no updates to share.","今の時点で、プロジェクトは順調です。","今の時点で、共有する更新情報はありません。"
"At some point",87,"どこかのタイミングで","At some point, we need to address this issue.","At some point, I’d like to visit Europe.","どこかのタイミングでこの問題に対処する必要があります。","どこかのタイミングでヨーロッパを訪れたいと思います。"
"Put someone on the spot",88,"困らせる","I didn’t mean to put you on the spot with that question.","The reporter put the politician on the spot with a tough question.","その質問であなたを困らせるつもりはありませんでした。","記者は厳しい質問で政治家を困らせました。"
"What it takes to",89,"～に必要な素質","He has what it takes to be a great leader.","Do you think you have what it takes to succeed in this industry?","彼は素晴らしいリーダーになるために必要な素質を持っています。","この業界で成功するために必要な素質を持っていると思いますか？"
"Now that ~",90,"もう～だから","Now that we’ve finished the project, let’s celebrate.","Now that you’re here, we can start the meeting.","もうプロジェクトが終わったから、お祝いしましょう。","もうあなたがここにいるので、会議を始められます。"
"On a regular basis",91,"定期的に","I go to the gym on a regular basis.","She checks her emails on a regular basis.","私は定期的にジムに通っています。","彼女は定期的にメールを確認しています。"
"Located in the heart of ~",92,"～の中心に位置する","The hotel is located in the heart of the city.","Their office is located in the heart of the financial district.","そのホテルは市の中心に位置しています。","彼らのオフィスは金融街の中心に位置しています。"
"Change ~ for the better",93,"～を良いものにする","This program aims to change society for the better.","We need to change our habits for the better.","このプログラムは社会をより良いものに変えることを目指しています。","私たちは習慣をより良いものに変える必要があります。"
"Now is the time to do ~",94,"今こそ～するときだ","Now is the time to take action.","Now is the time to invest in your future.","今こそ行動を起こすときです。","今こそ将来に投資する時です。"
"What I have always wanted to ~",95,"ずっとしたかったこと","What I have always wanted to do is travel the world.","She’s finally doing what she has always wanted to do.","私がずっとしたかったことは、世界を旅することです。","彼女はついにずっとやりたかったことを実行しています。"
"In the hope of ~",96,"～を期待して","They donated money in the hope of making a difference.","He studied harder in the hope of passing the exam.","彼らは変化をもたらすことを期待してお金を寄付しました。","彼は試験に合格することを期待してより一生懸命に勉強しました。"
"At the extreme",97,"極端な場合","At the extreme, we may have to shut down the project.","At the extreme, this could lead to bankruptcy.","極端な場合、プロジェクトを停止しなければならないかもしれません。","極端な場合、これは破産につながる可能性があります。"
"It has yet to be",98,"今なお～であるべきだ","The decision has yet to be finalized.","The issue has yet to be resolved.","その決定はまだ確定されていません。","その問題はまだ解決されるべきです。"
"Feel an attachment to ~",99,"～に愛着がある","I feel an attachment to my hometown.","She feels an attachment to her old toys.","私は故郷に愛着を感じます。","彼女は昔の玩具に愛着を感じています。"
"Let’s call it a day.",100,"これでおしまいにしよう","It’s been a productive meeting, so let’s call it a day.","We’ve done enough work for today, let’s call it a day.","今日は有意義な会議でしたので、これでおしまいにしましょう。","今日の作業は十分なので、これでおしまいにしましょう。"
"It’s my day.",101,"今日はついてる","Oh It’s my day today.","","今日はオレの日だぜ",""
